Job Info
Name;Stine 48 h v?kstfors?g
Status;Completed
Job ID;9
Job last modified;06-06-2014 13:55:25

Repetitions;61
Time between repetitions;00:30:00
Time between repetitions starting from 12:00:00;01:00:00
Acquire started;04-06-2014 13:18:10
Acquire completed;06-06-2014 13:52:34
Acquire duration;48:34:24
Growth Kinetics Analysis plugin;FullImageFeatures.dll

Name;ImageDistance;CameraStartPosition;Scan length;NumberOfImages;IlluminationLevel;IlluminationTime;TrayPosition;FocusPosition
H1;4.62746099855975;14198.3815144668;405;10;219;2;73366;2893.335373212

Features
ScanArea.Name;ScanArea.CameraStartPosition;ScanArea.ImageDistance;ScanArea.FocusPosition;ScanArea.IlluminationLevel;ScanArea.IlluminationTime;ScanArea.NumberOfImages;Repetition in job;BCA;BCANormalized;SESA;SESANormalized;TA;TANormalized;TimestampInSeconds
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;0;5.56010388543611;0;3.97856700334845;0;8.63013151901296;0;206
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;1;5.69324430964462;0.133140424208508;4.12697602902775;0.148409025679297;8.63494747725584;0.00481595824288839;2001
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;2;5.75129449212788;0.191190606691768;4.13537372615772;0.156806722809266;8.63454059241095;0.00440907339799423;3801
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;3;5.96248641890967;0.402382533473563;4.34993744212063;0.371370438772185;8.635190919701;0.00505940068804378;5601
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;4;6.00615599476227;0.44605210932616;4.46471888139437;0.486151878045923;8.63626529222868;0.00613377321572095;7402
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;5;6.19368518991415;0.633581304478042;4.54398995722615;0.565422953877702;8.63853804394832;0.00840652493536886;9202
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;6;6.31450452079054;0.754400635354429;4.66930606623164;0.690739062883194;8.64073545266561;0.0106039336526571;11002
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;7;6.34310822140596;0.783004335969855;4.63553251134846;0.656965508000006;8.64238381967804;0.0122523006650859;12802
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;8;6.46845202509464;0.908348139658529;4.72452510952459;0.745958106176143;8.64586230659234;0.0157307875793826;14602
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;9;6.53157595588233;0.971472070446216;4.69605170103073;0.717484697682282;8.64966340382604;0.0195318848130803;16402
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;10;6.64462561494362;1.08452172950751;4.70881633192478;0.73024932857633;8.6533718344055;0.0232403153925453;18202
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;11;6.85515617774472;1.29505229230861;4.73696219318532;0.758395189836868;8.65852574720311;0.0283942281901499;20002
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;12;7.00889249020158;1.44878860476547;4.72785578597418;0.749288782625731;8.66236757608387;0.0322360570709161;21802
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;13;7.21418298539437;1.65407909995826;4.81397579767577;0.835408794327319;8.66578452320673;0.0356530041937777;23602
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;14;7.39014066052571;1.8300367750896;4.76920690280677;0.790639899458324;8.66964863570522;0.0395171166922648;25402
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;15;7.62750566766565;2.06740178222954;4.79436871906887;0.815801715720419;8.67543244636376;0.0453009273508034;27202
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;16;7.82348975961793;2.26338587418182;4.87521366776532;0.896646664416875;8.68009885393484;0.0499673349218845;29002
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;17;8.01589120071054;2.45578731527443;4.81779981582051;0.839232812472062;8.68586629460446;0.0557347755915014;30802
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;18;8.16562120260352;2.60551731716741;4.85417671127839;0.875609707929937;8.69089489080722;0.0607633717942608;32602
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;19;8.28735568588025;2.72725180044414;4.86370730717726;0.885140303828814;8.69535391868601;0.0652223996730577;34402
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;20;8.42502556096456;2.86492167552845;5.02492704025263;1.04636003690418;8.70181881236008;0.0716872933471233;36202
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;21;8.53257597921706;2.97247209378095;4.99361830255742;1.01505129920897;8.70872009449955;0.0785885754865969;38002
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;22;8.62644636439452;3.06634247895841;5.05412007816735;1.0755530748189;8.71761481066676;0.087483291653804;39802
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;23;8.69394065290614;3.13383676747003;5.20475692260915;1.2261899192607;8.72929147213836;0.0991599531253993;41602
